strategy,month,model_version,reference_month,smape,mae,bias_pct,actual_total,forecast_total,seasonal_sales_drift,seasonal_sales_drifted,seasonal_prediction_drift,seasonal_prediction_drifted,naive_sales_drift,naive_sales_drifted,naive_prediction_drift,naive_prediction_drifted,retrained
static,2016-01,v001,2015-01,15.84923,5.40612,-7.56972,602439.0,556836.0625,0.17876,True,0.0143,False,0.36155,True,0.49352,True,False
static,2016-02,v001,2015-02,15.30341,5.73045,-7.73355,614957.0,567399.0,0.15177,True,0.01322,False,0.22845,True,0.3677,True,False
static,2016-03,v001,2015-03,14.11797,6.47672,-7.69701,790881.0,730006.75,0.16292,True,0.00521,False,0.11492,True,0.08465,False,False
static,2016-04,v001,2015-04,13.33148,7.2059,-7.73199,901950.0,832211.25,0.18894,True,0.01975,False,0.43763,True,0.27553,True,False
static,2016-05,v001,2015-05,13.01031,7.48105,-7.55878,988730.0,913994.0625,0.13388,True,0.02946,False,0.57512,True,0.41136,True,False
static,2016-06,v001,2015-06,12.82156,7.9926,-7.72385,1022664.0,943675.0,0.18328,True,0.01561,False,0.74005,True,0.56617,True,False
static,2016-07,v001,2015-07,12.51607,8.68923,-7.8912,1138718.0,1048859.5,0.19787,True,0.02648,False,0.9388,True,0.75294,True,False
static,2016-08,v001,2015-08,13.19795,7.59478,-7.76627,981494.0,905268.5625,0.13344,True,0.03492,False,0.55758,True,0.38928,True,False
static,2016-09,v001,2015-09,13.30556,7.21641,-7.71316,896831.0,827657.0,0.17964,True,0.01076,False,0.42489,True,0.26441,True,False
static,2016-10,v001,2015-10,13.90315,6.81022,-7.76287,863637.0,796594.0,0.16644,True,0.00627,False,0.27272,True,0.12531,True,False
static,2016-11,v001,2015-11,13.33619,7.23151,-7.84363,891448.0,821526.125,0.15441,True,0.0153,False,0.41132,True,0.24929,True,False
static,2016-12,v001,2015-12,15.20812,5.68124,-7.4169,663411.0,614206.5,0.18233,True,0.02162,False,0.21371,True,0.34828,True,False
static,2017-01,v001,2015-01,17.24757,6.05618,-11.04834,617306.0,549103.9375,0.232,True,0.01492,False,0.3255,True,0.5131,True,False
